tariff_id,plan_id,ntc,utility,tariff_group,tou_code,weekpart,tou,tou_description,tou_start_time,tou_end_time,step,public_holiday,time_zone,rate_method,rate_start_date,rate_end_date,rate_dollar_per_uom,uom,dd_from,dd_to,mm_from,mm_to,weekday_from,weekday_to,step_start_uom,step_end_uom
1013,63058522352,NMI63058522352,E,NET-VOL,,WD-peak,peak,Peak,7:00,23:00,1,0,AEST,,2018-01-01,9999-12-31,0.44836,KWH,1,31,1,12,0,4,0,9999999999
1014,63058522352,NMI63058522352,E,NET-VOL,,WD-off-peak,off-peak,Off Peak,23:00,7:00,1,0,AEST,,2018-01-01,9999-12-31,0.27445,KWH,1,31,1,12,0,4,0,9999999999
1015,64072511737,NMI64072511737,E,NET-VOL,,ALL,peak,Peak,0:00,0:00,1,0,AEST,,2018-01-01,9999-12-31,0.3082,KWH,1,31,1,12,0,6,0,9999999999
1016,64072958777,NMI64072958777,E,NET-VOL,,ALL,peak,Peak,0:00,0:00,1,0,AEST,,2018-01-01,9999-12-31,0.33902,KWH,1,31,1,12,0,6,0,9999999999
1017,64073648818,NMI64073648818,E,NET-VOL,,WE-off-peak,off-peak,Off Peak,0:00,0:00,1,0,AEST,,2018-01-01,9999-12-31,0.185,KWH,1,31,1,12,5,6,0,9999999999
1025,63052844208,NMI63052844208,E,NET-VOL,,WD-peak,peak,Peak,7:00,23:00,1,0,AEST,,2018-01-01,9999-12-31,0.3926,KWH,1,31,1,12,0,4,0,9999999999
1026,63052844208,NMI63052844208,E,NET-VOL,,WD-off-peak,off-peak,Off Peak,23:00,7:00,1,0,AEST,,2018-01-01,9999-12-31,0.185,KWH,1,31,1,12,0,4,0,9999999999
1027,63053161398,NMI63053161398,E,NET-VOL,,WE-off-peak,off-peak,Off Peak,0:00,0:00,1,0,AEST,,2018-01-01,9999-12-31,0.185,KWH,1,31,1,12,5,6,0,9999999999
1034,63056626966,NMI63056626966,E,NET-VOL,,off-peak,off-peak,Off Peak,1:00,7:00,1,0,AEST,,2018-01-01,9999-12-31,0.2045,KWH,1,31,1,12,0,6,0,9999999999
1035,63056626966,NMI63056626966,E,NET-VOL,,WD-peak,off-peak,Off Peak,15:00,21:00,1,0,AEST,,2018-01-01,9999-12-31,0.3212,KWH,1,31,1,12,0,4,0,9999999999
1036,63056626966,NMI63056626966,E,NET-VOL,,WD-Shoulder,Shoulder,Shoulder,7:00,15:00,1,0,AEST,,2018-01-01,9999-12-31,0.2844,KWH,1,31,1,12,0,4,0,9999999999
1000,,retailtou,E,NET-VOL,,,SHOULDER,SHOULDER,22:00,23:00,1,,AEST,,2018-01-01,9999-12-31,0.19112,KWH,1,31,1,12,0,4,0,9999999999
1001,,retailtou,E,NET-VOL,,,SHOULDER,SHOULDER,8:00,23:00,1,,AEST,,2018-01-01,9999-12-31,0.19112,KWH,1,31,1,12,5,6,0,9999999999
1002,,retailtou,E,NET-VOL,,,offpeak,offpeak,1:00,8:00,1,,AEST,,2018-01-01,9999-12-31,0.16992,KWH,1,31,1,12,0,6,0,9999999999
1041,64073594879,NMI64073594879,E,NET-VOL,,ALL,peak,Peak,0:00,0:00,1,0,AEST,,2018-01-01,9999-12-31,0.33902,KWH,1,31,1,12,0,6,0,9999999999
1042,63059140875,NMI63059140875,E,NET-VOL,,ALL,peak,Peak,0:00,0:00,1,0,AEST,,2018-01-01,9999-12-31,0.33902,KWH,1,31,1,12,0,6,0,9999999999
1043,61027072071,NMI61027072071,E,NET-VOL,,ALL,peak,Peak,0:00,0:00,1,0,AEST,,2018-01-01,9999-12-31,0.33902,KWH,1,31,1,12,0,6,0,9999999999
1049,62038531376,NMI62038531376,E,NET-VOL,,WD-peak,off-peak,Off Peak,15:00,21:00,1,0,AEST,,2018-01-01,9999-12-31,0.3212,KWH,1,31,1,12,0,4,0,9999999999
